960 24 ss 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
0 1 2
0 2 65
0 3 9
0 4 44
0 5 94
0 6 19
0 7 7
0 8 93
0 9 65
0 10 37
0 11 75
0 12 91
0 13 5
0 14 3
0 15 88
0 16 79
0 17 98
0 18 57
0 19 14
0 20 94
0 21 98
0 22 57
0 23 31
0 24 24
0 25 0
0 26 89
0 27 93
0 28 24
0 29 10
0 30 54
0 31 33
0 32 80
0 33 12
0 34 91
0 35 40
0 36 82
0 37 93
0 38 1
0 39 88
0 40 79
0 41 50
0 42 1
0 43 65
0 44 30
0 45 15
0 46 62
0 47 7
0 48 82
0 49 87
0 50 97
0 51 92
0 52 68
0 53 97
0 54 9
0 55 95
0 56 71
0 57 0
0 58 68
0 59 36
0 60 70
0 61 81
0 62 61
0 63 16
0 64 65
0 65 61
0 66 36
0 67 89
0 68 87
0 69 96
0 70 51
0 71 79
0 72 83
0 73 96
0 74 60
0 75 11
0 76 18
0 77 34
0 78 9
0 79 9
0 80 59
0 81 1
0 82 2
0 83 35
0 84 14
0 85 12
0 86 48
0 87 65
0 88 38
0 89 9
0 90 63
0 91 75
0 92 80
0 93 56
0 94 88
0 95 51
0 96 88
0 97 55
0 98 31
0 99 62
0 100 1
0 101 79
0 102 21
0 103 52
0 104 2
0 105 70
0 106 27
0 107 99
0 108 33
0 109 19
0 110 23
0 111 97
0 112 54
0 113 78
0 114 83
0 115 73
0 116 35
0 117 49
0 118 74
0 119 8
0 120 96
0 121 93
0 122 81
0 123 10
0 124 30
0 125 4
0 126 100
0 127 96
0 128 8
0 129 25
0 130 40
0 131 94
0 132 99
0 133 54
0 134 44
0 135 87
0 136 30
0 137 41
0 138 100
0 139 64
0 140 74
0 141 31
0 142 51
0 143 58
0 144 69
0 145 54
0 146 95
0 147 79
0 148 63
0 149 10
0 150 84
0 151 100
0 152 98
0 153 66
0 154 36
0 155 100
0 156 75
0 157 34
0 158 84
0 159 81
0 160 95
0 161 39
0 162 59
0 163 89
0 164 11
0 165 68
0 166 6
0 167 94
0 168 30
0 169 3
0 170 75
0 171 75
0 172 63
0 173 92
0 174 45
0 175 72
0 176 57
0 177 67
0 178 23
0 179 19
0 180 81
0 181 45
0 182 48
0 183 54
0 184 65
0 185 37
0 186 8
0 187 58
0 188 66
0 189 64
0 190 0
0 191 0
0 192 3
0 193 81
0 194 44
0 195 22
0 196 15
0 197 77
0 198 95
0 199 74
0 200 37
0 201 74
0 202 17
0 203 98
0 204 30
0 205 25
0 206 70
0 207 73
0 208 32
0 209 20
0 210 27
0 211 15
0 212 63
0 213 97
0 214 45
0 215 12
0 216 77
0 217 3
0 218 87
0 219 49
0 220 24
0 221 20
0 222 64
0 223 40
