Generations,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
10,199.45726234932891,207.53553970521716,196.62050500210543,198.8672744587659,197.5566879772905,205.1770683137893,200.02014472259606,204.7872875859621,202.0472677152132,195.1376940363578
20,201.43013167660587,198.34246906560347,199.02185083281344,199.610213226942,201.4847678296463,202.3772513161442,194.25466839827885,191.6529999462586,196.46869228488072,201.37057217753568
30,200.42217248858992,198.27749468102544,203.94292693483183,198.92143171980337,202.97547636716672,197.49985884935165,198.22437905009537,202.14409624330946,199.3491176902934,203.13403441352926
40,197.7520590273902,201.20516558206882,199.13999320394748,197.66743429259344,199.34529913719643,193.94582430452658,205.73102913462253,203.29249994922336,198.80282641073364,193.59392154936336
50,197.2903465709864,193.11899162199435,199.16330796482748,199.67724964201713,197.72375380271316,198.27693143669705,199.7963187377246,200.7708425212346,193.81199533354234,198.9657164710511
60,203.308519211876,194.92054904768864,202.3845112714801,198.43632295962692,196.98457651637628,195.09037970251123,193.7685670123829,191.78927709453535,200.9116233488277,198.52346989622913
70,196.58215131475075,196.55559623519622,206.72257115328577,199.52092658493262,193.8483181597684,197.5088348072118,199.67835009181553,202.62719026238506,203.21172464975695,200.474249520105
80,193.39230419075898,199.94748895351862,190.13748729636507,197.92696355739994,198.2158812974375,202.51746818657313,204.86732706288495,198.57677768035774,194.08330036591423,203.72053941343063
90,195.79418781115814,198.5676828604407,198.88810489141503,205.66367594536044,199.69628416192074,197.09640451408964,194.92607439236988,206.05615099662157,199.96622872535391,202.52857381315638
100,197.90865488290922,197.9559070159903,195.26721028683218,198.64348340181235,199.5087528296514,195.04201992916305,198.49551548015225,196.6995110978913,204.94380242071907,198.09586444897684
110,196.90861104861915,197.72111765606633,203.8654152787751,194.7466205937938,204.51101785413627,197.02473177393753,198.07935916468674,196.65989400191953,199.71096580523505,196.10452802093863
120,197.72143026434668,200.74982836286543,198.27481484810735,202.25740686084157,200.74056913715253,198.02228749067422,197.35068724396206,199.78332567622448,200.3680894287462,198.45180412049078
130,198.56094782849192,196.35846067908926,200.60329228625432,206.86094110339113,193.00550720762337,196.2184641613383,196.48607971182895,197.5783338619221,199.32293621383337,196.57997647497226
140,199.13337307356664,203.1593291625809,194.6565761475192,200.7275512802784,199.11907325940092,197.90117052855328,200.83493971031263,198.27047326745534,197.21883890716092,202.6724381485215
150,203.54066482374185,200.11770039507758,196.54333880400787,199.71363172855632,197.60260917012272,205.922341530356,207.82289188217422,197.82888502918848,202.68966042529019,197.3729239956089
160,194.01756493492437,197.61550037011565,200.43081738175542,198.10485427160685,198.33393523553423,200.04408737169135,194.93276188641408,202.7254488307763,202.55576426075186,206.2286859124599
170,198.2363164207736,194.5007187946335,199.73860534751194,199.29047178555552,204.2529275414991,197.67272832860743,201.64245042804038,198.51322072781593,207.06354591124585,201.64692950473048
180,203.58337675354525,196.826114238669,205.56880193969928,201.94294079765547,195.43326206351537,200.04744406670932,200.2195238599519,200.672228741287,200.08214102266925,194.41238628235496
190,202.37334387219545,204.09622704627463,202.8699872293448,199.02892921549198,201.9829445408329,200.78065080447706,197.36703004354882,197.53982893288318,201.2013575735212,199.7298988265726
200,206.3769293477012,203.16507370309247,204.07999961638774,192.2969632629883,195.97536564358336,199.98239369187877,199.65085469416263,195.05126003153669,200.74255752481602,195.5445226053487
210,201.82604124976132,198.80375606842964,195.0828469510503,195.5145506569977,191.2138327726497,197.7135146744443,199.16135753830181,199.6270423326316,196.95888123897203,197.94113671565353
220,204.35714308854148,195.44350678623604,208.61854664546502,200.54151981123792,200.4263601805431,196.35589141679387,206.28212670362464,197.49499399678945,198.98444261097063,206.67743790166395
230,204.642899224623,202.29652674511664,201.76730720613196,196.4086587140929,199.97171318754124,197.55598148854074,205.1449437604499,198.4822722534468,202.80295389696502,210.5596991409681
240,202.5024175416641,196.67757868238985,198.8784242234981,202.8884329151379,201.63485724343104,199.66742046124662,205.07262399656918,200.76393792898102,202.10162864163493,194.79965010340766
