Mutation Rate,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
5%,207.58173390542453,203.35567711066068,207.1002805897894,205.78700596193892,204.24211011117865,207.48510324035004,204.95598158415595,209.90158055942743,202.19917640854518,210.33728729147512
10%,202.97163704624305,205.0451980272814,208.4192017543762,207.48474174206595,204.82617645656805,204.75943778937068,204.36792850526825,203.15630103990415,207.21852594380914,207.57139765592865
15%,202.948324114379,206.26638917986202,205.8135580389381,206.21050679086034,204.60074090226388,210.68451101492727,205.5518770975626,205.4679668364571,205.05301441329556,208.0977167251404
20%,205.17097435704574,209.55965996915563,207.50193332976338,210.29859714524957,206.20530530052469,204.9949756170748,207.39498421807113,201.5195766459554,208.1082445799814,202.68719209633278
25%,208.56168669999957,207.8332977298956,212.48776307511963,207.1529972155108,203.83945900981746,204.43840720975155,202.21023889319474,207.23851785843627,203.00828758318013,206.30733107184753
30%,206.01644191310885,205.40168724084648,213.51288983172782,212.16948248168953,206.84868116364356,205.23324704566974,213.37799166072992,206.0568211062033,204.5564947084136,204.7166128752362
35%,214.0817313276291,210.05045678191385,203.39465307535494,209.2627401772028,205.50696336739898,207.01930588335983,208.72027173340936,208.7009004703522,204.1663652205444,207.51190838669888
40%,212.4269061531904,207.02684737014485,206.87989631095132,208.30963682747796,205.4276988737969,205.30004940732007,208.28860687313184,209.08471394206077,207.6976955556667,205.67905500662715
45%,206.33547022183896,206.37875685274403,210.83894978818782,202.79352018885078,207.5250662368475,207.77433717226324,204.01531949373688,203.56026393774022,211.52826004544852,204.37307291253566
50%,206.92550257196655,210.1698835583495,208.9434196815621,202.56898156588875,205.40937435199572,204.42970849620906,208.0596910071511,206.9654734337079,205.9426435074828,204.38359005268345
55%,205.86176253272214,204.8557634904758,203.12778680784965,205.4784380143568,206.51632538801763,207.49494543051125,206.21327796483692,205.52312217167662,205.13843050162993,206.67077916031724
60%,204.7551885489366,205.19760000191536,212.94872960793154,206.4181089365439,206.45760561152258,209.57256235765038,207.6502565107356,207.93551152974513,208.1757786404881,205.1083786956979
65%,205.1271511085186,204.54254974455026,213.06278812857326,208.40128247214906,208.2734632320987,201.3786177684767,204.41172530090637,208.37358503603045,206.5244094857146,207.4754195030978
70%,206.371416464178,210.6307958636827,207.48783812310026,207.57965022714666,204.63076807629636,206.94703061811308,201.349328706304,204.88214832536875,206.92186123694634,204.9934870222566
75%,201.75892773065553,204.8897077597272,211.36761025263513,207.84172324391986,204.52489404971752,211.15653771573616,207.2805640858606,207.14286185645517,205.7314998072581,201.33233493317232
80%,207.06549771677734,206.41821252765857,206.08221144502397,208.69242072452064,207.1216202462565,205.32920836032434,204.63516753224286,205.30428539142923,210.30393850161482,206.07178438187722
85%,207.58750682833428,204.32766384541216,205.66532582312166,204.99529498995923,204.07970444439457,207.78914871994297,205.94408611343147,205.14847145000041,206.63934996816252,209.17457129869442
90%,203.52176536941573,205.87657527387327,205.47129686277268,207.4740580102241,209.2597631128946,212.3996898982286,208.19891139894054,213.449070974289,206.69558049132127,204.29297852791046
95%,205.97390327899677,208.74916238098157,206.51213119770318,209.28816464938822,204.37580973488872,204.63704866676855,204.65857027487507,206.3119594547126,210.1728016080836,205.0458516317354
100%,204.09578820529865,207.34716150435696,211.41790441884947,207.28057313179795,209.42338019992843,208.3420620193895,205.7078599041345,210.48758630915376,206.12322151569052,207.3134663881314
