Mutation Rate,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
5%,0.8005797863006592,0.8254134654998779,0.8920581340789795,0.8231966495513916,0.9137589931488037,0.8427944183349609,0.791881799697876,0.7956230640411377,0.7565455436706543,0.8253276348114014
10%,0.8480641841888428,0.7841670513153076,0.8466875553131104,0.7663300037384033,0.8727641105651855,0.7614221572875977,0.7628457546234131,0.7571349143981934,0.760284423828125,0.7542486190795898
15%,0.7653427124023438,0.776392936706543,0.7598733901977539,0.7578766345977783,0.7619471549987793,0.759282112121582,0.7612426280975342,0.7548282146453857,0.7620177268981934,0.7642991542816162
20%,0.7654304504394531,0.7675096988677979,0.7592706680297852,0.7648470401763916,0.7617430686950684,0.7548091411590576,0.7728240489959717,0.7742838859558105,0.7787597179412842,0.7712757587432861
25%,0.7803843021392822,0.778817892074585,0.7714700698852539,0.777388334274292,0.7760241031646729,0.771826982498169,0.7653524875640869,0.7817938327789307,0.7673327922821045,0.7784054279327393
30%,0.7813029289245605,0.7839572429656982,0.7747395038604736,0.7754485607147217,0.7772891521453857,0.7760200500488281,0.7689850330352783,0.773404598236084,0.7642414569854736,0.7713510990142822
35%,0.7748606204986572,0.7803699970245361,0.7694001197814941,0.7677304744720459,0.7677288055419922,0.7756996154785156,0.7768764495849609,0.7668523788452148,0.7752730846405029,0.7643640041351318
40%,0.7849502563476562,0.7822883129119873,0.7663578987121582,0.774195671081543,0.7757880687713623,0.7773163318634033,0.7787864208221436,0.7662556171417236,0.7743051052093506,0.7827763557434082
45%,0.7842879295349121,0.7803618907928467,0.7675833702087402,0.7647297382354736,0.7721982002258301,0.7747945785522461,0.7596883773803711,0.7768204212188721,0.7718288898468018,0.7543067932128906
50%,0.7754144668579102,0.771491289138794,0.7718045711517334,0.7692749500274658,0.7659585475921631,0.7657265663146973,0.762291431427002,0.774359941482544,0.7709460258483887,0.7722952365875244
55%,0.7743406295776367,0.773935079574585,0.7691373825073242,0.769298791885376,0.7703464031219482,0.7618036270141602,0.7672982215881348,0.7662107944488525,0.7720925807952881,0.7718477249145508
60%,0.7713336944580078,0.7680487632751465,0.7648215293884277,0.7663516998291016,0.7674009799957275,0.7577733993530273,0.7592482566833496,0.7562685012817383,0.7608487606048584,0.7688257694244385
65%,0.7669162750244141,0.7675333023071289,0.764324426651001,0.7677664756774902,0.763801097869873,0.760178804397583,0.7597131729125977,0.7663440704345703,0.7657396793365479,0.7618987560272217
70%,0.7668163776397705,0.7715151309967041,0.762298583984375,0.7613546848297119,0.7595686912536621,0.7549538612365723,0.7638137340545654,0.7610411643981934,0.760775089263916,0.7582292556762695
75%,0.7574021816253662,0.7647695541381836,0.7628035545349121,0.7710201740264893,0.7618377208709717,0.7602930068969727,0.7607231140136719,0.760796070098877,0.7564411163330078,0.7658040523529053
80%,0.7664012908935547,0.7718043327331543,0.7617850303649902,0.7602949142456055,0.7596735954284668,0.7617385387420654,0.7597696781158447,0.7628912925720215,0.7607829570770264,0.7562117576599121
85%,0.7623591423034668,0.7684504985809326,0.7591934204101562,0.7623906135559082,0.7572672367095947,0.7628109455108643,0.7633230686187744,0.7582345008850098,0.7602381706237793,0.7622487545013428
90%,0.7628347873687744,0.7670395374298096,0.7564346790313721,0.7632982730865479,0.763892650604248,0.759223461151123,0.7622854709625244,0.754777193069458,0.7572600841522217,0.7632722854614258
95%,0.765364408493042,0.7712149620056152,0.7552816867828369,0.761728048324585,0.7532131671905518,0.7592906951904297,0.7623164653778076,0.7593441009521484,0.7642993927001953,0.757256031036377
100%,0.7669863700866699,0.7723782062530518,0.7724294662475586,0.7657594680786133,0.7576708793640137,0.7619009017944336,0.7649745941162109,0.7652723789215088,0.7653102874755859,0.7670309543609619
