Populations,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
5,195.107051780106,192.51507153330596,196.73831141162523,201.3987738877849,204.9130102049523,202.61229128948233,196.78079715128962,205.5746520432539,197.66310312146598,198.37328470932397
10,206.10758969253163,197.51805146351657,201.27218713489756,201.84973891629127,198.85771607817068,202.39590588898812,208.98248280814337,199.53233282607917,199.44006621963658,202.1865330695465
20,201.37864673123065,202.81512353323185,202.21094429477318,201.09120843534885,199.08839452030568,199.8926404915411,203.67354024742144,202.63783225443365,201.11726931622988,201.49620441608144
30,203.24413692147132,208.5026882710226,201.2970958389993,204.52896996247776,198.94386387685438,202.38224005691237,206.981572153016,209.23933863230837,201.85094899983426,206.87959070143543
40,206.80754887602998,202.56137448468363,203.68278102400902,204.93570116234548,207.76153487510376,205.07611084874358,202.82588371801677,207.14785577912357,204.49994713398806,204.35590880317673
50,202.23774281233173,213.7623940703891,201.66575807643213,204.38214805400003,204.76173850836034,202.75173474864988,201.93866813499366,204.79354019021252,205.9934566133586,204.95107044683044
60,207.3129694329287,198.48731780615103,204.40642201079353,203.36860635442702,202.99751108626876,208.2790296253971,204.16751662845928,203.98458546778156,205.7531631215927,202.1824177439138
70,204.86131111598644,204.68909965034558,214.58277970915532,204.0173525340217,203.01296338350878,205.8484066306843,210.8187434347994,205.69479985036597,202.9926090362007,207.7993142676477
80,207.45137100399683,205.1371639759256,209.2161625039854,203.4964494609069,204.83712777200617,204.2364937947206,204.4629210905315,214.56883017657373,205.59322354987748,207.0279728292239
90,205.82947753249707,205.5179759986684,204.58626177934897,216.866547921922,208.4531538113915,206.31264206896597,206.62668288343997,204.35899176063356,207.7917836234634,206.59569525865282
100,206.2248781412893,206.74757668105408,207.74085124492336,207.54613033525575,206.24713387565106,207.32887426456907,203.24328822893824,204.67963365894622,210.2175210590153,208.0588046825104
110,209.76114908916162,216.50318410952045,207.08114055073824,210.63743213595023,208.4391542604874,205.75501966195336,207.25320353196713,206.39680987012332,205.8614905599655,209.2883658570607
120,207.39072287993298,204.15905875322017,209.62841364020423,206.1825762786608,203.90621555054284,206.62800376980286,203.0012406742391,203.94182167166835,204.1351236810833,204.35110519825105
130,207.8287877070801,207.99140206257695,201.4670301880474,205.93748000819485,205.51185235009385,204.42846882027058,205.88510331644915,211.8476016385198,202.85369565945774,204.75542343788314
140,204.26943083444104,206.1437525303749,206.24557356801188,208.3387491341072,209.2200087105636,207.85836204273684,205.60550677811017,207.34175369418776,205.76100371858647,206.3679851156037
150,207.8929631833707,208.2643567963649,202.03720127791806,205.2554810494283,208.78855797234718,206.085352161786,206.89719309807242,203.19855419512322,206.96687613296817,209.45008130791223
160,209.4830539139913,207.52800592674674,206.85384534708186,207.69568327485956,205.15127567809793,212.65851883685352,208.59064726443253,205.69256642730133,207.65267798332147,212.98558520622132
170,208.08853711797406,205.61036573742317,205.7714282147292,206.30687803619713,208.2802343361928,205.15187896646927,207.9454721437886,208.48589489817493,206.1153113296581,208.85744590549325
180,207.96714077960058,206.04427392559575,207.70629904060056,208.53698246639144,207.3493082053826,209.29550425225207,206.59171712330195,204.00973955848193,213.41222594766967,204.77487441076255
190,206.323435786251,206.70766470127975,206.96952460853245,209.91980884563554,205.4770998872957,204.58430454921083,208.1751971340471,207.11663218170145,208.15635104847772,210.7409470926952
200,206.58923057430002,206.07821670248265,209.1968036777895,206.5678156957806,210.43011035721557,208.52772520086103,210.96500915487564,206.65124504033588,208.74505671206356,206.9515570040449
210,207.93987858815737,204.90455587533725,208.83939018498282,207.8237046814222,206.9390017164647,207.0092672010629,206.12840189835435,207.00122066127744,208.20989577725865,209.59419134324915
220,208.5495954215321,206.24279504257535,207.38631864099418,207.1295680872579,210.14923798630724,211.08808830539581,206.68389698085775,206.86166920679796,207.15038964134516,207.4037239881683
230,205.29790377066277,211.3487695742621,204.44602601672727,208.67571031712902,207.225378451001,211.15588758272673,206.32979585676026,207.4866186717552,209.09794401664917,206.86005519403338
240,204.97333452526493,207.01536667712747,207.95654803902073,205.50589498650635,205.17918831340359,206.22163662849408,209.58309476005257,203.89376254071144,206.25564529490495,207.0861149688036
250,205.82867766234185,206.09076016423694,207.85676770613074,208.75306741122486,209.3107215276423,206.83243927185268,208.97765291048682,211.04785057173896,208.48708324984705,209.9133903448343
260,204.13062960395902,209.7657636512514,207.3162821741491,211.4539782988391,206.86730607359144,207.18918356711117,205.80204889934163,207.18014404356848,208.09216806075636,212.69453928528105
270,208.13253508145323,210.27303208988604,205.82913451311805,208.62317960200264,206.9914168366625,206.86214000789528,206.30279615106687,206.10248183424068,206.08163701321797,212.93783504374989
280,207.05922716611084,204.78015966933083,209.63334116822142,206.36396569102513,210.16856987014177,211.09046341569734,208.05871529224243,208.67281947337295,205.57300883222615,208.27079156550556
290,206.7965307692976,210.4866097340803,204.9324970725594,206.07692162452705,205.1447933951884,208.52226756898716,206.15608176078538,211.70076936952344,203.27686054889958,209.56461738000394
300,206.8282699110528,209.40572390495063,208.94771311221635,207.325893135975,212.0015158589729,206.36862746495362,211.00456944619685,209.71198024819824,210.5227652169549,209.15541043247703
310,209.48017088104794,208.21781531637254,206.67335679407984,207.68241362215042,207.0179064399514,207.18570766792575,205.16830630865502,208.61485908622058,206.19937117044717,204.98611651617372
320,207.013169073295,207.50523458354473,210.4335064988135,211.8843811405054,208.1225047771643,212.00642015114596,209.7795648038196,208.97126920207586,205.83108212830427,207.25289927064563
330,209.0861429118088,208.84202609871062,206.86245721321544,207.6258738596233,210.93511779189407,207.39693407027156,206.70646655260154,207.11630211084628,208.8141392104513,206.0062117715854
340,208.37395201574748,209.6242463892044,207.1522895515752,211.93613034107935,207.23501847482538,208.25187883918306,207.0287793841747,208.56534744920495,207.72733222929145,206.40422547067507
350,210.15304572430074,206.04082614235668,209.8187709445059,208.24614810400962,209.0475089715897,209.16182637125698,210.2915136612372,205.71837521529022,209.03594183008124,211.25576095022274
360,210.18445487393572,210.12732055124334,212.4604986700151,208.25727893068557,206.46352738106322,211.65432049429404,207.32212651736037,206.58987132470386,207.85501012992952,209.20391544163436
370,208.22407149847118,206.18026263294178,210.3165358580347,208.25845390705211,211.12610067949743,208.93146568975845,208.801689132881,206.16562496875923,207.65597089846457,209.34204982246013
380,207.03738734707105,214.5818608695542,208.99676712082336,205.69400755176414,209.3077284199728,207.17411159433104,209.96573961561901,210.50507257501386,206.7183907909352,212.28490194984667
390,209.523669423324,211.31947310716356,207.67348938029602,209.88514138520912,214.33251232294816,210.76618816112472,209.09688587119746,208.817872740521,211.75590978210448,210.11059173003864
400,206.91370404843775,208.57639355992612,207.9107781977977,206.22910312365258,214.7041259595301,210.775488376195,209.5660125759472,208.99736032111394,206.17491912751186,209.73087836559202
410,205.8580493394561,209.87656594260355,210.23196416613834,205.89153968532455,207.67333345949527,208.4494230806163,212.88660240367307,207.98833669510333,209.2955375024228,210.2152312814498
420,211.38864810005728,206.89104645133963,215.11871926014385,208.0772190737371,207.91043892097144,206.47397706666663,213.25471907615687,207.28235805418973,207.74634565532335,209.74548475464562
430,207.9530033381291,207.97196641527765,206.01473511078464,208.51733118049842,211.93960793016032,208.2478518549109,205.2627162069567,208.81777224893395,207.9313204408293,207.3436339784293
440,207.41884329668153,213.57235934438535,209.56593636362604,205.90387282469936,208.33551394794029,209.6572466855671,211.10502213890666,210.42744254382382,211.7623410939256,211.4235464271043
450,208.10933869009415,209.84514278747142,208.45304298914812,206.20193065990878,210.62456689635155,209.3812201896731,207.8982976152176,207.6715254227799,211.93613799993005,208.4562097403593
460,208.25464948410493,209.0155799919089,206.1883047001652,207.08941716383424,208.73821245799584,211.99872198774372,210.6612183610991,208.4168232697894,209.13086961797939,213.97963624120663
470,210.15529407351204,211.80466044318993,210.51494162711833,209.06679184927137,210.14703181774127,211.1862755227271,208.13234056538437,211.80936915268182,209.99464256564144,208.62821977742354
480,208.04215382276237,206.87944614870293,210.0037293344865,208.04276985169358,211.2014732193735,205.29052860480556,209.0524752864289,206.46533115317712,208.87900195857893,208.54030747927675
490,210.36272146634224,205.35961110321384,209.55917325667096,214.17719095614203,208.0830634409673,207.9134351768521,205.6250992957224,208.53636523906147,206.31677784271002,209.72574853752798
500,208.01609482966202,209.85149308700383,207.22023228761097,211.40844791475544,207.1828262533346,204.42946983289784,207.08887758449904,207.96209250569336,210.9080527854506,208.9682534803268
